SID,PC1,PC2,chr
SRR4292219.bam,-0.0639527,-0.0867246,12
SRR4292220.bam,0.131637,-0.0134759,12
SRR4292221.bam,0.129148,-0.119921,12
SRR4292222.bam,0.129127,-0.0327144,12
SRR4292223.bam,0.127981,0.0170248,12
SRR4292224.bam,0.131133,-0.116263,12
SRR4292225.bam,-0.0651649,-0.00384804,12
SRR4292226.bam,-0.261137,-0.133284,12
SRR4292227.bam,-0.0835807,0.0337652,12
SRR4292228.bam,-0.0718559,0.168585,12
SRR4292229.bam,-0.260138,-0.143199,12
SRR4292230.bam,-0.0863488,0.00884425,12
SRR4292182.bam,-0.133793,0.0627418,13
SRR4292183.bam,-0.310285,-0.0693905,13
SRR4292184.bam,0.125016,0.123592,13
SRR4292185.bam,0.104843,0.0346309,13
SRR4292186.bam,0.12564,-0.0686763,13
SRR4292187.bam,0.120206,-0.218881,13
