Results of differential gene expression analysis for cricket responses to larval infestation. Positional information for genes is given in 'Infestation_annotation' tab,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
12.34107074,0.849217276,2.029987168,0.418336278,0.675701269,0.884229821,TOC.1T.00426
132.5394561,0.040385533,0.186532834,0.216506294,0.82859312,0.945653744,TOC.1T.00425
3969.687879,-0.277006759,0.29429159,-0.941266311,0.346568403,0.681439046,TOC.1T.00428
13.48958572,0.807097997,0.329477768,2.449628096,0.014300383,0.116760273,TOC.1T.00429
398.2367665,-0.253453637,0.186499776,-1.359002365,0.174145839,0.499255402,TOC.1T.00438
0,NA,NA,NA,NA,NA,TOC.1T.00440
0.819164366,2.155028358,3.687535964,0.58440877,0.558945328,NA,TOC.1T.00441
179.1582711,0.455406283,0.132680916,3.432342016,0.000598392,0.011851208,TOC.1T.00442
405.3241867,0.245067076,0.125590269,1.95132217,0.051018733,0.257423779,TOC.1T.00444
9.229831386,-0.183230044,1.295755808,-0.141407851,0.887547753,0.967011273,TOC.1T.00445
981.1388919,-0.446541656,0.401040789,-1.113456958,0.265512224,0.607313235,TOC.1T.00446
236.9113757,-0.107622765,0.19657637,-0.547485768,0.584045046,0.837732566,TOC.1T.00439
87.20145514,-0.433732544,0.213497476,-2.031558179,0.042198404,0.228209243,TOC.1T.00450
0,NA,NA,NA,NA,NA,TOC.1T.00465
7.673889124,-0.14625491,1.360565712,-0.107495661,0.914395768,0.975085908,TOC.1T.00467
16.9329479,0.716154422,0.928483121,0.771316576,0.440519309,0.757768808,TOC.1T.00468
19.59205036,0.091857934,0.620784043,0.147970836,0.882365784,0.964823808,TOC.1T.00469
9.264776756,-0.944134956,0.52975114,-1.782223547,0.074712784,0.322045886,TOC.1T.00462
666.7304711,-1.110654932,0.383701372,-2.894581603,0.003796642,0.047102311,TOC.1T.00470
32.59390527,0.04021307,0.667257255,0.060266217,0.951943608,0.987228118,TOC.1T.00471
3.650254027,4.748474466,3.639195065,1.304814494,0.191956023,NA,TOC.1T.00473
2.147724851,0.371780337,3.645639113,0.101979468,NA,NA,TOC.1T.00447
9.164537532,-0.032661314,0.466965566,-0.069943731,0.944238446,0.984736929,TOC.1T.00448
87.51859542,-0.448609331,0.352106147,-1.274074123,0.202637148,0.53627603,TOC.1T.00472
10.8428709,0.172223572,0.68651105,0.25086788,0.801916258,0.938305165,TOC.1T.00474
74.23277916,-1.046469267,0.479862381,-2.180769545,0.029200466,0.185788313,TOC.1T.00475
1.26716614,-4.379507617,3.644786398,-1.20158142,0.229525744,NA,TOC.1T.00478
4.452849305,-2.721377962,3.46105203,-0.786286348,0.431699748,NA,TOC.1T.00476
73.65144617,-0.678839402,0.476641435,-1.424213994,0.154384535,0.474377431,TOC.1T.00477
212.3451709,0.207446674,0.133032586,1.55936737,0.118909455,0.416755018,TOC.1T.00479
4314.161519,-0.49141975,0.244910656,-2.006526616,0.044800092,0.237008081,TOC.1T.00484
22.45571289,-0.603286142,0.474527213,-1.271341508,0.203607182,0.53712797,TOC.1T.00486
1.93848307,-1.488113501,3.648990878,-0.407815078,0.683409443,NA,TOC.1T.00488
6.648189617,0.710642029,0.44519937,1.596233232,0.110436731,0.401293545,TOC.1T.00490
293.1818611,0.495573655,0.162057781,3.058005939,0.002228152,0.032338584,TOC.1T.00487
0.505044764,-0.183246537,3.724945049,-0.049194427,0.960764353,NA,TOC.1T.00489
120.4785083,0.539151779,0.255585991,2.109473121,0.034903764,0.207744965,TOC.1T.00495
50.35045253,-0.307272201,0.366748163,-0.837828876,0.402126819,0.726536408,TOC.1T.00498
0,NA,NA,NA,NA,NA,TOC.1T.00499
17.31429891,-0.751049291,1.062864317,-0.706627627,0.479797916,0.780634711,TOC.1T.00491
614.0253408,0.216973245,0.097013771,2.236520066,0.025317724,0.168122764,TOC.1T.00496
253.5568898,-0.179553387,0.106654674,-1.683502284,0.092277898,0.364801833,TOC.1T.00503
259.9464744,0.41574141,0.128607257,3.232643482,0.001226505,0.02070651,TOC.1T.00501
582.9900613,0.030528458,0.219028411,0.139381271,0.889148871,0.967386598,TOC.1T.00504
80.21917875,-0.23254232,0.276042366,-0.842415329,0.399555516,0.725015474,TOC.1T.00506
127.5789661,0.289553432,0.155543834,1.861555193,0.062665814,0.290903366,TOC.1T.00507
44.08125819,-0.43406939,0.52498631,-0.826820399,0.408338866,0.730103304,TOC.1T.00515
1025.045996,-0.313500398,0.25838509,-1.213306841,0.225012529,0.561964063,TOC.1T.00516
112.4661512,0.019816062,0.239940784,0.082587301,0.934179699,0.981908849,TOC.1T.00508
125.6199754,0.04098396,0.136753862,0.299691423,0.764412541,0.923318018,TOC.1T.00518
